RB;SPOL;KTK;KTL;KFK;KDK;KT50M
1;M;0,144;0,102;4,08;136;10,12
2;M;0,142;0,093;4,24;155;8,52
3;M;0,181;0,104;3,51;136;11,78
4;M;0,171;0,11;3,59;160;9,81
5;M;0,144;0,098;4,17;145;9,58
6;M;0,155;0,118;3,66;154;9,82
7;M;0,145;0,108;3,99;154;9,65
8;M;0,156;0,108;3,81;148;10,01
9;M;0,135;0,108;4,13;155;9,2
10;M;0,142;0,098;4,15;153;8,99
11;M;0,131;0,103;4,29;152;8,93
12;M;0,163;0,074;4,24;123;10,83
13;M;0,166;0,11;3,62;137;11,24
14;M;0,154;0,088;4,13;135;10,06
15;M;0,131;0,108;4,2;148;9,15
16;M;0,141;0,111;4;148;9,75
17;M;0,163;0,105;3,76;149;10,09
18;M;0,147;0,096;4,03;142;9,93
19;M;0,153;0,09;4,14;125;11,03
20;M;0,162;0,126;3,48;178;9,4
21;M;0,172;0,124;3,39;163;10,42
22;M;0,155;0,095;4,03;148;9,68
23;M;0,171;0,094;3,78;155;9,82
24;M;0,134;0,121;3,93;164;8,93
25;M;0,149;0,091;4,08;140;9,89
26;M;0,123;0,107;4,37;152;8,74
27;M;0,139;0,107;3,99;156;9,33
28;M;0,137;0,107;4,03;158;8,73
29;M;0,126;0,128;3,95;153;9,41
30;M;0,141;0,101;4,16;149;9,25
31;M;0,15;0,099;4,04;154;9,3
32;M;0,143;0,099;4,14;152;9,31
33;M;0,163;0,104;3,78;147;10,16
34;M;0,155;0,117;3,61;153;9,89
35;M;0,17;0,093;3,8;142;10,34
36;M;0,178;0,072;4,02;139;10,33
37;M;0,168;0,124;3,45;159;10,23
38;M;0,168;0,084;3,9;146;10,03
39;M;0,131;0,114;4,09;145;9,53
40;M;0,154;0,099;3,92;141;10,08
41;M;0,144;0,12;3,78;152;10,22
42;M;0,154;0,1;3,94;141;10,16
43;M;0,15;0,114;3,83;143;10
44;M;0,147;0,097;4,09;141;9,79
45;M;0,16;0,092;3,97;144;9,85
46;M;0,146;0,081;4,43;123;10,24
47;M;0,127;0,103;4,36;132;9,96
48;M;0,134;0,11;4,11;136;9,81
49;M;0,131;0,108;4,22;137;10,84
50;M;0,175;0,075;4,03;137;10,27
51;M;0,17;0,074;4,12;132;10,93
52;M;0,126;0,114;4,21;136;10,25
53;M;0,128;0,111;4,22;136;9,43
54;M;0,144;0,094;4,23;127;10,49
55;M;0,175;0,104;3,61;139;11,22
56;M;0,15;0,111;3,86;157;9,44
57;M;0,171;0,102;3,69;141;10,57
58;M;0,156;0,105;3,84;135;10,78
59;M;0,151;0,086;4,24;138;9,57
60;M;0,174;0,133;3,5;165;9,76
61;M;0,158;0,09;4,09;133;10,36
62;M;0,137;0,099;4,29;147;9,2
63;M;0,138;0,105;4,25;153;9,8
64;M;0,159;0,127;3,54;167;9,93
65;M;0,158;0,091;4,04;143;9,94
66;M;0,164;0,09;3,97;128;11,07
67;M;0,13;0,113;4,16;149;9,19
68;M;0,126;0,114;4,2;140;9,71
69;M;0,16;0,11;3,73;154;9,97
70;M;0,157;0,092;4;150;9,49
71;M;0,134;0,119;3,88;166;9,1
72;M;0,139;0,095;4,29;152;8,89
73;M;0,152;0,106;3,91;153;9,54
74;M;0,146;0,1;4,05;139;10,17
75;M;0,133;0,107;4,16;149;9,3
76;M;0,146;0,09;4,18;143;9,78
77;Z;0,173;0,124;3,38;160;10,4
78;Z;0,151;0,126;3,62;148;10,46
79;Z;0,134;0,13;3,83;160;9,31
80;Z;0,168;0,112;3,59;149;10,59
81;Z;0,18;0,11;3,44;157;10,53
82;Z;0,173;0,13;3,32;156;10,99
83;Z;0,137;0,117;3,86;152;9,6
84;Z;0,144;0,116;3,89;156;9,49
85;Z;0,16;0,102;3,86;168;8,88
86;Z;0,154;0,13;3,48;164;9,91
87;Z;0,161;0,11;3,69;150;10,13
88;Z;0,184;0,079;3,82;129;11,21
89;Z;0,163;0,097;3,83;153;9,73
90;Z;0,113;0,143;3,93;172;8,61
91;Z;0,14;0,109;4,08;141;9,78
92;Z;0,163;0,128;3,45;153;10,68
93;Z;0,196;0,127;3,12;165;11,08
94;Z;0,161;0,096;3,94;126;11
95;Z;0,154;0,109;3,83;154;9,71
96;Z;0,152;0,113;3,79;144;9,74
97;Z;0,163;0,123;3,56;153;10,45
98;Z;0,146;0,138;3,54;152;10,5
99;Z;0,156;0,097;3,99;146;9,84
100;Z;0,142;0,115;3,92;153;9,6
101;Z;0,168;0,099;3,69;156;9,87
102;Z;0,161;0,111;3,67;159;9,74
103;Z;0,151;0,131;3,54;161;9,84
104;Z;0,143;0,119;3,81;170;9,29
105;Z;0,134;0,098;4,34;138;9,59
106;Z;0,172;0,101;3,68;138;10,98
107;Z;0,133;0,11;4,12;163;8,67
108;Z;0,163;0,093;3,91;132;11
109;Z;0,164;0,103;3,76;154;9,93
110;Z;0,135;0,11;4,12;166;8,58
111;Z;0,19;0,078;3,68;132;11,33
112;Z;0,155;0,11;3,8;148;10,04
113;Z;0,155;0,126;3,57;156;10,17
114;Z;0,149;0,121;3,74;147;10,36
115;Z;0,15;0,128;3,64;163;9,6
116;Z;0,153;0,119;3,72;160;9,66
117;Z;0,144;0,122;3,8;165;9,46
118;Z;0,146;0,111;3,91;157;9,34
119;Z;0,16;0,108;3,75;156;9,78
120;Z;0,153;0,097;4,02;149;9,62
121;Z;0,148;0,112;3,86;150;9,82
122;Z;0,138;0,119;3,85;159;9,28
123;Z;0,183;0,114;3,39;134;12,08
124;Z;0,135;0,118;3,97;157;9,23
125;Z;0,171;0,136;3,26;157;10,75
126;Z;0,172;0,104;3,63;131;11,64
127;Z;0,135;0,113;3,96;155;9,27
128;Z;0,159;0,116;3,64;156;9,95
129;Z;0,142;0,124;3,8;157;9,6
130;Z;0,15;0,122;3,71;135;11,03
131;Z;0,157;0,122;3,61;152;10,47
132;Z;0,197;0,114;3,25;161;10,46
133;Z;0,142;0,121;3,77;134;10,89
134;Z;0,145;0,12;3,78;168;9,11
135;Z;0,184;0,109;3,44;152;10,56
136;Z;0,144;0,102;4,06;149;9,43
137;Z;0,165;0,109;3,58;143;10,95
138;Z;0,171;0,119;3,48;142;11,18
139;Z;0,141;0,108;4,02;130;10,81
140;Z;0,181;0,107;3,51;142;11,46
141;Z;0,169;0,13;3,39;163;10,25
142;Z;0,168;0,125;3,44;153;10,8
143;Z;0,175;0,121;3,39;151;11,09
144;Z;0,159;0,113;3,66;159;9,9
145;Z;0,161;0,103;3,8;161;9,2
146;Z;0,154;0,127;3,6;166;9,53
147;Z;0,149;0,102;4,01;148;9,84
148;Z;0,154;0,108;3,85;143;10,47
149;Z;0,144;0,113;3,9;142;10,37
150;Z;0,166;0,127;3,44;173;9,88
151;Z;0,181;0,104;3,52;135;11,55
152;Z;0,152;0,126;3,6;157;10,12
153;Z;0,151;0,107;3,86;150;9,92
154;Z;0,144;0,114;3,9;151;9,76
155;Z;0,158;0,11;3,73;145;10,47
156;Z;0,2;0,085;3,47;150;10,68
157;Z;0,175;0,111;3,52;147;11,11
158;Z;0,175;0,12;3,33;154;10,92
159;Z;0,151;0,127;3,6;174;9,2
160;Z;0,158;0,106;3,8;149;9,97
161;Z;0,159;0,098;3,89;139;10,63
162;Z;0,153;0,105;3,79;152;9,8
163;Z;0,162;0,119;3,52;144;9,78
164;Z;0,171;0,108;3,62;150;10,38
165;Z;0,179;0,133;3,22;174;10,11
166;Z;0,158;0,125;3,54;164;9,87
167;Z;0,188;0,112;3,34;164;10,37
168;Z;0,149;0,109;3,91;159;9,11
169;Z;0,116;0,12;4,25;171;8,2
